ID,order,language.condition,trolley.choice,footbridge.choice,non.moral.choice,l2.mean.skills,l2.years,age,gender,language.group,proficiency
1,1,1,1,0,1,NA,NA,46,1,1,10
2,1,1,0,0,1,NA,NA,21,1,1,10
3,2,1,1,0,0,NA,NA,21,1,1,10
4,2,1,1,1,1,NA,NA,21,2,1,10
5,1,1,1,0,1,NA,NA,20,2,1,10
6,1,1,0,0,1,NA,NA,19,1,1,10
7,1,1,1,0,0,NA,NA,20,1,1,10
8,1,1,1,0,1,NA,NA,22,1,1,10
9,1,1,0,0,1,NA,NA,20,1,1,10
10,1,1,1,0,1,NA,NA,19,1,1,10
11,1,1,1,1,0,NA,NA,19,1,1,10
12,1,1,1,0,1,NA,NA,20,1,1,10
13,1,1,0,0,1,NA,NA,19,1,1,10
14,2,1,0,0,1,NA,NA,22,1,1,10
15,2,1,0,0,1,NA,NA,20,1,1,10
16,2,1,0,0,1,NA,NA,20,1,1,10
17,2,1,1,1,1,NA,NA,22,1,1,10
18,2,1,0,0,1,NA,NA,21,2,1,10
19,2,1,0,0,1,NA,NA,20,1,1,10
20,2,1,0,0,1,NA,NA,20,1,1,10
21,2,1,0,0,1,NA,NA,20,1,1,10
22,1,1,1,0,1,NA,NA,20,1,1,10
23,1,1,1,0,1,NA,NA,26,1,1,10
24,1,1,1,0,1,NA,NA,21,1,1,10
25,1,1,0,0,1,NA,NA,21,1,1,10
26,1,1,0,0,0,NA,NA,21,1,1,10
27,1,1,0,0,1,NA,NA,21,1,1,10
28,1,1,0,0,1,NA,NA,21,2,1,10
29,1,1,1,0,1,NA,NA,20,1,1,10
30,1,1,0,0,1,NA,NA,20,1,1,10
31,2,1,1,0,0,NA,NA,25,1,1,10
32,2,1,1,0,1,NA,NA,22,1,1,10
33,2,1,1,0,1,NA,NA,20,1,1,10
34,2,1,1,0,1,NA,NA,21,1,1,10
35,2,1,1,1,1,NA,NA,21,1,1,10
36,2,1,0,1,1,NA,NA,21,1,1,10
37,2,1,0,0,1,NA,NA,20,2,1,10
38,2,1,1,0,1,NA,NA,20,1,1,10
39,2,1,1,0,1,NA,NA,22,2,1,10
40,1,0,1,1,1,3.5,16,24,1,5,6
41,1,0,1,1,1,3.5,14,25,1,5,5
42,1,0,0,0,1,3.75,7,32,1,5,6
43,1,0,1,0,1,3.75,14,23,1,5,6
44,1,0,1,1,0,4,19,23,1,5,7
45,1,0,1,1,1,4,12,24,1,5,7
46,1,0,0,0,1,4,8,31,1,5,6
47,1,0,1,0,1,3.75,15,23,1,5,6
48,1,0,1,0,1,3,8,24,2,5,5
49,1,0,1,0,1,3,19,22,1,5,5
50,1,0,0,0,1,4,15,22,1,5,6
51,2,0,0,0,1,3.5,23,30,1,5,6
52,2,0,0,0,1,4.25,14,24,1,5,7
53,2,0,0,0,1,3.75,14,23,1,5,6
54,2,0,1,1,1,3.75,15,24,1,5,6
55,2,0,1,1,1,3.5,6,25,1,5,6
56,2,0,1,0,1,3.5,11,24,1,5,6
57,2,0,0,NA,1,3.75,14,25,1,5,6
58,2,0,1,0,0,4.5,14,24,2,5,7
59,2,0,0,0,1,4.5,19,22,1,5,7
60,2,0,0,0,1,3.5,18,24,1,5,6
61,2,0,NA,0,1,4.25,8,23,1,5,7
62,1,0,0,0,1,5,14,22,2,5,8
63,2,0,0,0,1,3.5,9,21,1,5,5
64,2,0,1,1,1,3.75,6,22,2,5,6
65,2,0,1,1,1,3.25,17,22,1,5,5
66,1,0,1,1,1,4.25,NA,21,1,5,7
67,1,0,1,1,1,3.75,11,21,1,5,6
68,2,0,1,0,1,3.5,14,21,1,5,6
76,1,0,1,1,1,3.5,16,20,2,3,8
77,1,0,1,0,1,2.25,41,45,1,3,5
78,2,0,0,0,1,3.25,14,22,2,3,8
79,2,0,0,1,0,5.25,12,22,1,3,5
80,2,0,1,1,1,3.75,7,20,2,3,8
81,2,0,1,1,1,NA,NA,20,1,3,-999
82,1,0,1,1,1,3,10,19,1,3,6
83,1,0,1,0,1,4,5,19,1,3,8
84,1,0,1,0,1,3.5,6,19,1,3,8
85,1,0,1,1,1,3.5,8,19,2,3,8
86,1,0,1,0,1,3.75,12,20,1,3,8
87,1,0,1,1,1,4,6,20,1,3,8
88,1,0,1,1,1,3,25,28,1,3,7
89,2,0,0,0,1,3.5,10,19,1,3,7
90,2,0,0,0,1,3.5,8,20,1,3,7
91,2,0,0,0,1,3.25,6,20,1,3,7
92,2,0,1,1,1,3.25,14,20,1,3,7
93,2,0,1,0,1,3,5,19,1,3,6
94,1,0,0,0,1,3,8,21,1,3,7
95,1,0,0,0,1,3,8,21,1,3,6
96,1,0,1,0,1,3,9,21,2,3,6
97,1,0,1,1,1,3,8,20,1,3,7
98,1,0,0,0,1,2.5,12,22,1,3,6
99,1,0,1,0,1,3,12,21,1,3,6
100,1,0,1,0,1,3.25,12,21,1,3,6
101,1,0,1,1,1,3.25,9,21,1,3,7
102,1,0,1,1,1,3.75,10,20,1,3,8
103,2,0,1,0,0,2.75,29,31,2,3,6
104,2,0,1,0,1,3.25,9,21,1,3,7
105,2,0,0,0,1,3,6,20,1,3,6
106,2,0,1,1,1,3,9,20,1,3,6
107,2,0,1,1,1,3.25,4,20,1,3,7
108,2,0,1,1,1,3.5,5,20,1,3,7
109,2,0,1,0,1,4.25,9,20,2,3,10
110,2,0,1,1,1,3.25,6,20,1,3,7
111,2,0,1,0,0,3.25,8,21,1,3,7
112,2,0,0,0,1,3.25,8,20,1,3,7
