ID,language.condition,language.group,proficiency,dilemma.type,dilemma.choice
001,1,1,10,trolley.choice,1
001,1,1,10,footbridge.choice,0
001,1,1,10,non.moral.choice,1
002,1,1,10,trolley.choice,0
002,1,1,10,footbridge.choice,0
002,1,1,10,non.moral.choice,1
003,1,1,10,trolley.choice,1
003,1,1,10,footbridge.choice,0
003,1,1,10,non.moral.choice,0
004,1,1,10,trolley.choice,1
004,1,1,10,footbridge.choice,1
004,1,1,10,non.moral.choice,1
005,1,1,10,trolley.choice,1
005,1,1,10,footbridge.choice,0
005,1,1,10,non.moral.choice,1
006,1,1,10,trolley.choice,0
006,1,1,10,footbridge.choice,0
006,1,1,10,non.moral.choice,1
007,1,1,10,trolley.choice,1
007,1,1,10,footbridge.choice,0
007,1,1,10,non.moral.choice,0
008,1,1,10,trolley.choice,1
008,1,1,10,footbridge.choice,0
008,1,1,10,non.moral.choice,1
009,1,1,10,trolley.choice,0
009,1,1,10,footbridge.choice,0
009,1,1,10,non.moral.choice,1
010,1,1,10,trolley.choice,1
010,1,1,10,footbridge.choice,0
010,1,1,10,non.moral.choice,1
011,1,1,10,trolley.choice,1
011,1,1,10,footbridge.choice,1
011,1,1,10,non.moral.choice,0
012,1,1,10,trolley.choice,1
012,1,1,10,footbridge.choice,0
012,1,1,10,non.moral.choice,1
013,1,1,10,trolley.choice,0
013,1,1,10,footbridge.choice,0
013,1,1,10,non.moral.choice,1
014,1,1,10,trolley.choice,0
014,1,1,10,footbridge.choice,0
014,1,1,10,non.moral.choice,1
015,1,1,10,trolley.choice,0
015,1,1,10,footbridge.choice,0
015,1,1,10,non.moral.choice,1
016,1,1,10,trolley.choice,0
016,1,1,10,footbridge.choice,0
016,1,1,10,non.moral.choice,1
017,1,1,10,trolley.choice,1
017,1,1,10,footbridge.choice,1
017,1,1,10,non.moral.choice,1
018,1,1,10,trolley.choice,0
018,1,1,10,footbridge.choice,0
018,1,1,10,non.moral.choice,1
019,1,1,10,trolley.choice,0
019,1,1,10,footbridge.choice,0
019,1,1,10,non.moral.choice,1
020,1,1,10,trolley.choice,0
020,1,1,10,footbridge.choice,0
020,1,1,10,non.moral.choice,1
021,1,1,10,trolley.choice,0
021,1,1,10,footbridge.choice,0
021,1,1,10,non.moral.choice,1
022,1,1,10,trolley.choice,1
022,1,1,10,footbridge.choice,0
022,1,1,10,non.moral.choice,1
023,1,1,10,trolley.choice,1
023,1,1,10,footbridge.choice,0
023,1,1,10,non.moral.choice,1
024,1,1,10,trolley.choice,1
024,1,1,10,footbridge.choice,0
024,1,1,10,non.moral.choice,1
025,1,1,10,trolley.choice,0
025,1,1,10,footbridge.choice,0
025,1,1,10,non.moral.choice,1
026,1,1,10,trolley.choice,0
026,1,1,10,footbridge.choice,0
026,1,1,10,non.moral.choice,0
027,1,1,10,trolley.choice,0
027,1,1,10,footbridge.choice,0
027,1,1,10,non.moral.choice,1
028,1,1,10,trolley.choice,0
028,1,1,10,footbridge.choice,0
028,1,1,10,non.moral.choice,1
029,1,1,10,trolley.choice,1
029,1,1,10,footbridge.choice,0
029,1,1,10,non.moral.choice,1
030,1,1,10,trolley.choice,0
030,1,1,10,footbridge.choice,0
030,1,1,10,non.moral.choice,1
031,1,1,10,trolley.choice,1
031,1,1,10,footbridge.choice,0
031,1,1,10,non.moral.choice,0
032,1,1,10,trolley.choice,1
032,1,1,10,footbridge.choice,0
032,1,1,10,non.moral.choice,1
033,1,1,10,trolley.choice,1
033,1,1,10,footbridge.choice,0
033,1,1,10,non.moral.choice,1
034,1,1,10,trolley.choice,1
034,1,1,10,footbridge.choice,0
034,1,1,10,non.moral.choice,1
035,1,1,10,trolley.choice,1
035,1,1,10,footbridge.choice,1
035,1,1,10,non.moral.choice,1
036,1,1,10,trolley.choice,0
036,1,1,10,footbridge.choice,1
036,1,1,10,non.moral.choice,1
037,1,1,10,trolley.choice,0
037,1,1,10,footbridge.choice,0
037,1,1,10,non.moral.choice,1
038,1,1,10,trolley.choice,1
038,1,1,10,footbridge.choice,0
038,1,1,10,non.moral.choice,1
039,1,1,10,trolley.choice,1
039,1,1,10,footbridge.choice,0
039,1,1,10,non.moral.choice,1
040,0,5,6,trolley.choice,1
040,0,5,6,footbridge.choice,1
040,0,5,6,non.moral.choice,1
041,0,5,5,trolley.choice,1
041,0,5,5,footbridge.choice,1
041,0,5,5,non.moral.choice,1
042,0,5,6,trolley.choice,0
042,0,5,6,footbridge.choice,0
042,0,5,6,non.moral.choice,1
043,0,5,6,trolley.choice,1
043,0,5,6,footbridge.choice,0
043,0,5,6,non.moral.choice,1
044,0,5,7,trolley.choice,1
044,0,5,7,footbridge.choice,1
044,0,5,7,non.moral.choice,0
045,0,5,7,trolley.choice,1
045,0,5,7,footbridge.choice,1
045,0,5,7,non.moral.choice,1
046,0,5,6,trolley.choice,0
046,0,5,6,footbridge.choice,0
046,0,5,6,non.moral.choice,1
047,0,5,6,trolley.choice,1
047,0,5,6,footbridge.choice,0
047,0,5,6,non.moral.choice,1
048,0,5,5,trolley.choice,1
048,0,5,5,footbridge.choice,0
048,0,5,5,non.moral.choice,1
049,0,5,5,trolley.choice,1
049,0,5,5,footbridge.choice,0
049,0,5,5,non.moral.choice,1
050,0,5,6,trolley.choice,0
050,0,5,6,footbridge.choice,0
050,0,5,6,non.moral.choice,1
051,0,5,6,trolley.choice,0
051,0,5,6,footbridge.choice,0
051,0,5,6,non.moral.choice,1
052,0,5,7,trolley.choice,0
052,0,5,7,footbridge.choice,0
052,0,5,7,non.moral.choice,1
053,0,5,6,trolley.choice,0
053,0,5,6,footbridge.choice,0
053,0,5,6,non.moral.choice,1
054,0,5,6,trolley.choice,1
054,0,5,6,footbridge.choice,1
054,0,5,6,non.moral.choice,1
055,0,5,6,trolley.choice,1
055,0,5,6,footbridge.choice,1
055,0,5,6,non.moral.choice,1
056,0,5,6,trolley.choice,1
056,0,5,6,footbridge.choice,0
056,0,5,6,non.moral.choice,1
057,0,5,6,trolley.choice,0
057,0,5,6,footbridge.choice,NA
057,0,5,6,non.moral.choice,1
058,0,5,7,trolley.choice,1
058,0,5,7,footbridge.choice,0
058,0,5,7,non.moral.choice,0
059,0,5,7,trolley.choice,0
059,0,5,7,footbridge.choice,0
059,0,5,7,non.moral.choice,1
060,0,5,6,trolley.choice,0
060,0,5,6,footbridge.choice,0
060,0,5,6,non.moral.choice,1
061,0,5,7,trolley.choice,NA
061,0,5,7,footbridge.choice,0
061,0,5,7,non.moral.choice,1
062,0,5,8,trolley.choice,0
062,0,5,8,footbridge.choice,0
062,0,5,8,non.moral.choice,1
063,0,5,5,trolley.choice,0
063,0,5,5,footbridge.choice,0
063,0,5,5,non.moral.choice,1
064,0,5,6,trolley.choice,1
064,0,5,6,footbridge.choice,1
064,0,5,6,non.moral.choice,1
065,0,5,5,trolley.choice,1
065,0,5,5,footbridge.choice,1
065,0,5,5,non.moral.choice,1
066,0,5,7,trolley.choice,1
066,0,5,7,footbridge.choice,1
066,0,5,7,non.moral.choice,1
067,0,5,6,trolley.choice,1
067,0,5,6,footbridge.choice,1
067,0,5,6,non.moral.choice,1
068,0,5,6,trolley.choice,1
068,0,5,6,footbridge.choice,0
068,0,5,6,non.moral.choice,1
076,0,3,8,trolley.choice,1
076,0,3,8,footbridge.choice,1
076,0,3,8,non.moral.choice,1
077,0,3,5,trolley.choice,1
077,0,3,5,footbridge.choice,0
077,0,3,5,non.moral.choice,1
078,0,3,8,trolley.choice,0
078,0,3,8,footbridge.choice,0
078,0,3,8,non.moral.choice,1
079,0,3,5,trolley.choice,0
079,0,3,5,footbridge.choice,1
079,0,3,5,non.moral.choice,0
080,0,3,8,trolley.choice,1
080,0,3,8,footbridge.choice,1
080,0,3,8,non.moral.choice,1
082,0,3,6,trolley.choice,1
082,0,3,6,footbridge.choice,1
082,0,3,6,non.moral.choice,1
083,0,3,8,trolley.choice,1
083,0,3,8,footbridge.choice,0
083,0,3,8,non.moral.choice,1
084,0,3,8,trolley.choice,1
084,0,3,8,footbridge.choice,0
084,0,3,8,non.moral.choice,1
085,0,3,8,trolley.choice,1
085,0,3,8,footbridge.choice,1
085,0,3,8,non.moral.choice,1
086,0,3,8,trolley.choice,1
086,0,3,8,footbridge.choice,0
086,0,3,8,non.moral.choice,1
087,0,3,8,trolley.choice,1
087,0,3,8,footbridge.choice,1
087,0,3,8,non.moral.choice,1
088,0,3,7,trolley.choice,1
088,0,3,7,footbridge.choice,1
088,0,3,7,non.moral.choice,1
089,0,3,7,trolley.choice,0
089,0,3,7,footbridge.choice,0
089,0,3,7,non.moral.choice,1
090,0,3,7,trolley.choice,0
090,0,3,7,footbridge.choice,0
090,0,3,7,non.moral.choice,1
091,0,3,7,trolley.choice,0
091,0,3,7,footbridge.choice,0
091,0,3,7,non.moral.choice,1
092,0,3,7,trolley.choice,1
092,0,3,7,footbridge.choice,1
092,0,3,7,non.moral.choice,1
093,0,3,6,trolley.choice,1
093,0,3,6,footbridge.choice,0
093,0,3,6,non.moral.choice,1
094,0,3,7,trolley.choice,0
094,0,3,7,footbridge.choice,0
094,0,3,7,non.moral.choice,1
095,0,3,6,trolley.choice,0
095,0,3,6,footbridge.choice,0
095,0,3,6,non.moral.choice,1
096,0,3,6,trolley.choice,1
096,0,3,6,footbridge.choice,0
096,0,3,6,non.moral.choice,1
097,0,3,7,trolley.choice,1
097,0,3,7,footbridge.choice,1
097,0,3,7,non.moral.choice,1
098,0,3,6,trolley.choice,0
098,0,3,6,footbridge.choice,0
098,0,3,6,non.moral.choice,1
099,0,3,6,trolley.choice,1
099,0,3,6,footbridge.choice,0
099,0,3,6,non.moral.choice,1
100,0,3,6,trolley.choice,1
100,0,3,6,footbridge.choice,0
100,0,3,6,non.moral.choice,1
101,0,3,7,trolley.choice,1
101,0,3,7,footbridge.choice,1
101,0,3,7,non.moral.choice,1
102,0,3,8,trolley.choice,1
102,0,3,8,footbridge.choice,1
102,0,3,8,non.moral.choice,1
103,0,3,6,trolley.choice,1
103,0,3,6,footbridge.choice,0
103,0,3,6,non.moral.choice,0
104,0,3,7,trolley.choice,1
104,0,3,7,footbridge.choice,0
104,0,3,7,non.moral.choice,1
105,0,3,6,trolley.choice,0
105,0,3,6,footbridge.choice,0
105,0,3,6,non.moral.choice,1
106,0,3,6,trolley.choice,1
106,0,3,6,footbridge.choice,1
106,0,3,6,non.moral.choice,1
107,0,3,7,trolley.choice,1
107,0,3,7,footbridge.choice,1
107,0,3,7,non.moral.choice,1
108,0,3,7,trolley.choice,1
108,0,3,7,footbridge.choice,1
108,0,3,7,non.moral.choice,1
109,0,3,10,trolley.choice,1
109,0,3,10,footbridge.choice,0
109,0,3,10,non.moral.choice,1
110,0,3,7,trolley.choice,1
110,0,3,7,footbridge.choice,1
110,0,3,7,non.moral.choice,1
111,0,3,7,trolley.choice,1
111,0,3,7,footbridge.choice,0
111,0,3,7,non.moral.choice,0
112,0,3,7,trolley.choice,0
112,0,3,7,footbridge.choice,0
112,0,3,7,non.moral.choice,1
